,Assignment,DocumentNo,BusA,Type,Tx,PBk,Clrng_doc.,Text,CoCd,Supplier,Account,G/L,Supplier_Name,Pur._Doc.,Doc._Date,Amt_in_loc.cur.,Clearing,Pstng_Date,Column1,Net_due_dt,Arrers,Arrear,Discont,Day1,Day2,Net,Entity,IC,Net_due_d-clearing_d,Paid_T/F,Inv_Type,Pay_term_in_days,Payment_Term_desc,PT_Category,doc_type
15,2024009,47105930,,debit,85,,55022891,"W01 2024.05.29.WE,TIM",12,609711,609711,162000,Philip Schwarz,9500208930.0,24.05.2024,3956.75,19.06.2024,04.06.2024,6.2024,23.06.2024,-4,-4,True,30,0,0,TKEEA,NO,4,True,PO,30,innerhalb von 30 Tagen ohne Abzug,< 30 day,PO Invoices
16,15848B,47105938,,debit,85,,55022892,"W01 2024.05.07.WE,TIM",12,609784,609784,162000,SD&C GmbH,9500209272.0,29.04.2024,2883.96,19.06.2024,12.06.2024,6.2024,29.05.2024,21,21,True,30,0,0,TKEEA,NO,-21,False,PO,30,innerhalb von 30 Tagen ohne Abzug,< 30 day,PO Invoices
17,RE242055,37027162,,debit,85,,55022858,unter 100 EUR->OCNA,12,631237,631237,162000,digital copy studio,,06.05.2024,21.42,05.06.2024,14.05.2024,5.2024,05.06.2024,22,0,False,8,30,0,TKEEA,NO,0,True,FI,30,innerhalb von 8 Tagen 2 % Skonto,< 30 day,FI Invoices
19,9000218957,37027190,,debit,85,,55022913,"F01 2024.06.03.FR,TIM,@HR",12,660965,660965,162000,PEAC (Germany) GmbH,,28.05.2024,229.5,26.06.2024,19.06.2024,6.2024,27.06.2024,-1,-1,True,30,0,0,TKEEA,NO,1,True,FI,30,innerhalb von 30 Tagen ohne Abzug,< 30 day,FI Invoices
20,21715,37027196,,debit,85,,55022914,"F01 2024.06.13.FR,TIM",12,661943,661943,162000,Notar Dr. Joachim Tebben,,06.06.2024,123.4,26.06.2024,24.06.2024,6.2024,16.06.2024,10,10,True,10,0,0,TKEEA,NO,-10,False,FI,10,innerhalb von 10 Tagen ohne Abzug,< 30 day,FI Invoices
21,9031579068,37027202,,debit,85,,55022915,"F01 2024.06.12.FR,TIM,2 Kostenstelle?",12,682058,682058,162000,SODEXO,,31.05.2024,554.54,26.06.2024,26.06.2024,6.2024,14.06.2024,12,12,True,14,0,0,TKEEA,NO,-12,False,FI,14,innerhalb von 14 Tagen ohne Abzug,< 30 day,FI Invoices
22,20240506,47105900,,debit,85,,55022860,"W01 2024.05.07.WE,TIM",12,718165,718165,162000,Profil M Beratung f.Human Resources,9500207812.0,06.05.2024,36060.57,05.06.2024,14.05.2024,5.2024,05.06.2024,0,0,True,30,0,0,TKEEA,NO,0,True,PO,30,Innerhalb von 30 Tagen ohne Abzug,< 30 day,PO Invoices
23,20240508,47105923,,debit,85,,55022860,"W01 2024.05.13.WE,TIM",12,718165,718165,162000,Profil M Beratung f.Human Resources,9500206903.0,08.05.2024,8246.7,05.06.2024,29.05.2024,5.2024,07.06.2024,-2,-2,True,30,0,0,TKEEA,NO,2,True,PO,30,Innerhalb von 30 Tagen ohne Abzug,< 30 day,PO Invoices
24,20240524,47105924,,debit,85,,55022893,"W01 2024.05.29.WE,TIM",12,718165,718165,162000,Profil M Beratung f.Human Resources,9500207812.0,24.05.2024,1374.45,19.06.2024,31.05.2024,5.2024,23.06.2024,-4,-4,True,30,0,0,TKEEA,NO,4,True,PO,30,Innerhalb von 30 Tagen ohne Abzug,< 30 day,PO Invoices
28,24P0176,47105873,,debit,71,,55022877,"W01 2024.04.18.WE,TIM",12,718431,718431,162100,Eteria Marketing y Comunicacion,9500205266.0,17.04.2024,6114.0,13.06.2024,23.04.2024,4.2024,16.06.2024,-3,-3,True,60,0,0,TKEEA,NO,3,True,PO,60,innerhalb von 60 Tagen ohne Abzug,30-60 d,PO Invoices
29,20240514,47105915,,debit,71,,55022917,"W01 2024.05.14.WE,TIM",12,718542,718542,162100,Sales Performance International,9500208323.0,14.05.2024,1200.0,26.06.2024,22.05.2024,5.2024,28.06.2024,-2,-2,True,45,0,0,TKEEA,NO,2,True,PO,45,innerhalb von 45 Tagen ohne Abzug,30-60 d,PO Invoices
30,20240517,47105918,,debit,71,,55022917,"W01 2024.05.17.WE,TIM",12,718542,718542,162100,Sales Performance International,9500207924.0,17.05.2024,4800.0,26.06.2024,29.05.2024,5.2024,01.07.2024,-5,-5,True,45,0,0,TKEEA,NO,5,True,PO,45,innerhalb von 45 Tagen ohne Abzug,30-60 d,PO Invoices
31,20240516,47105926,,debit,71,,55022917,"W01 2024.05.16.WE,TIM",12,718542,718542,162100,Sales Performance International,9500208936.0,16.05.2024,61657.21,26.06.2024,03.06.2024,6.2024,30.06.2024,-4,-4,True,45,0,0,TKEEA,NO,4,True,PO,45,innerhalb von 45 Tagen ohne Abzug,30-60 d,PO Invoices
32,98078448,47105951,,debit,85,,55022918,"W01 2024.05.21.WE,TIM",12,718706,718706,162000,BAIEN GmbH,9500208910.0,17.05.2024,43.72,26.06.2024,26.06.2024,6.2024,31.05.2024,26,26,True,14,0,0,TKEEA,NO,-26,False,PO,14,innerhalb von 14 Tagen ohne Abzug,< 30 day,PO Invoices
35,65147239,47105885,,debit,85,,55022879,"W01 2024.04.30.WE,TIM",12,719079,719079,162000,EntServ Deutschland GmbH,9500206404.0,30.04.2024,5970.98,13.06.2024,30.04.2024,4.2024,14.06.2024,-1,-1,True,45,0,0,TKEEA,NO,1,True,PO,45,innerhalb von 45 Tagen ohne Abzug,30-60 d,PO Invoices
36,65147246,47105886,,debit,85,,55022879,"W01 2024.04.30.WE,TIM",12,719079,719079,162000,EntServ Deutschland GmbH,9500206404.0,30.04.2024,9292.71,13.06.2024,30.04.2024,4.2024,14.06.2024,-1,-1,True,45,0,0,TKEEA,NO,1,True,PO,45,innerhalb von 45 Tagen ohne Abzug,30-60 d,PO Invoices
37,65147240,47105887,,debit,85,,55022879,"W01 2024.04.30.WE,TIM",12,719079,719079,162000,EntServ Deutschland GmbH,9500206404.0,30.04.2024,12512.55,13.06.2024,30.04.2024,4.2024,14.06.2024,-1,-1,True,45,0,0,TKEEA,NO,1,True,PO,45,innerhalb von 45 Tagen ohne Abzug,30-60 d,PO Invoices
38,65147243,47105888,,debit,85,,55022879,"W01 2024.04.30.WE,TIM",12,719079,719079,162000,EntServ Deutschland GmbH,9500206404.0,30.04.2024,13368.46,13.06.2024,30.04.2024,4.2024,14.06.2024,-1,-1,True,45,0,0,TKEEA,NO,1,True,PO,45,innerhalb von 45 Tagen ohne Abzug,30-60 d,PO Invoices
39,65147251,47105889,,debit,85,,55022879,"W01 2024.04.30.WE,TIM",12,719079,719079,162000,EntServ Deutschland GmbH,9500206404.0,30.04.2024,11126.8,13.06.2024,30.04.2024,4.2024,14.06.2024,-1,-1,True,45,0,0,TKEEA,NO,1,True,PO,45,innerhalb von 45 Tagen ohne Abzug,30-60 d,PO Invoices
40,65147569,47105903,,debit,85,,55022894,"W01 2024.05.13.WE,TIM",12,719079,719079,162000,EntServ Deutschland GmbH,9500205539.0,10.05.2024,7539.84,19.06.2024,14.05.2024,5.2024,24.06.2024,-5,-5,True,45,0,0,TKEEA,NO,5,True,PO,45,innerhalb von 45 Tagen ohne Abzug,30-60 d,PO Invoices
41,240137,47105945,,debit,85,,55022895,"W01 2024.06.12.WE,TIM",12,720159,720159,162000,Obungi GmbH,9500206735.0,11.03.2024,2499.0,19.06.2024,19.06.2024,6.2024,21.03.2024,90,90,True,10,0,0,TKEEA,NO,-90,False,PO,10,innerhalb von 10 Tagen ohne Abzug,< 30 day,PO Invoices
43,2701035054,37027180,,debit,85,,55022880,"F01 2024.05.31.FR,TIM",12,720687,720687,162000,Freshfields Bruckhaus Deringer,,15.05.2024,33950.11,13.06.2024,31.05.2024,5.2024,14.06.2024,-1,-1,True,30,0,0,TKEEA,NO,1,True,FI,30,innerhalb von 30 Tagen ohne Abzug,< 30 day,FI Invoices
44,1131,47105932,,debit,69,,55022862,"W01 2024.05.17.WE,TIM",12,720816,720816,162100,"Sicora Consulting, Inc.",9500205696.0,12.05.2024,1800.0,05.06.2024,05.06.2024,6.2024,11.06.2024,-6,-6,True,30,0,0,TKEEA,NO,6,True,PO,30,innerhalb von 30 Tagen ohne Abzug,< 30 day,PO Invoices
45,80128,47105940,,debit,85,,55022896,I02 2024.05.31.@S.Vega,12,720886,720886,162000,tristar GmbH,9500208985.0,24.05.2024,3546.0,19.06.2024,12.06.2024,6.2024,23.06.2024,-4,-4,True,30,0,0,TKEEA,NO,4,True,PO,30,innerhalb von 30 Tagen ohne Abzug,< 30 day,PO Invoices
46,066/2024,47105901,,debit,71,,55022863,"W01 2024.05.13.WE,TIM",12,720978,720978,162000,Giuseppe Nicosia,9500205412.0,09.05.2024,6120.0,05.06.2024,14.05.2024,5.2024,08.06.2024,-3,-3,True,30,0,0,TKEEA,NO,3,True,PO,30,Innerhalb von 30 Tagen ohne Abzug,< 30 day,PO Invoices
47,8166027558,37027192,,debit,85,,55022921,F03 2024.06.18,12,885853,885853,162060,thyssenkrupp Services GmbH,,16.06.2024,833.78,26.06.2024,20.06.2024,6.2024,30.06.2024,-4,-4,True,14,0,0,TKEEA,NO,4,True,FI,14,innerhalb von 14 Tagen ohne Abzug,< 30 day,FI Invoices
53,FF/24013,47105917,,debit,71,,55022865,"W01 2024.05.13.WE,TIM",12,892912,892912,162100,"TRAINING MANAGEMENT PROFESSIONAL, S",9500208069.0,08.05.2024,1800.0,05.06.2024,22.05.2024,5.2024,07.06.2024,-2,-2,True,30,0,0,TKEEA,NO,2,True,PO,30,innerhalb von 30 Tagen ohne Abzug,< 30 day,PO Invoices
54,F24-0256,47105942,,debit,71,,55022922,"W01 2024.06.12.WE,TIM",12,892989,892989,162100,VINTAGE PRODUCTIONS,9500209161.0,31.05.2024,4380.0,26.06.2024,12.06.2024,6.2024,30.06.2024,-4,-4,True,30,0,0,TKEEA,NO,4,True,PO,30,innerhalb von 30 Tagen ohne Abzug,< 30 day,PO Invoices
55,ITE2024-658,47105904,,debit,71,,55022866,"W01 2024.05.13.WE,TIM",12,893093,893093,162100,ITERA PROCESS CONSULTING S.L.,9500205315.0,08.05.2024,7200.0,05.06.2024,14.05.2024,5.2024,07.06.2024,-2,-2,True,30,0,0,TKEEA,NO,2,True,PO,30,innerhalb von 30 Tagen ohne Abzug,< 30 day,PO Invoices
56,2024-0203-AR,47105946,,debit,71,,55022897,"W01 2024.06.12.WE,TIM,I02 2024.06.12.Ust-ID.",12,893298,893298,162100,myAbility Social Enterprise GmbH,9500208673.0,29.04.2024,4490.0,19.06.2024,19.06.2024,6.2024,29.05.2024,21,21,True,30,0,0,TKEEA,NO,-21,False,PO,30,innerhalb von 30 Tagen ohne Abzug,< 30 day,PO Invoices
57,2024-0219-AR,47105947,,debit,71,,55022897,"W01 2024.06.12.WE,TIM,I02 2024.06.12.Ust-ID.",12,893298,893298,162100,myAbility Social Enterprise GmbH,9500208674.0,30.04.2024,2404.19,19.06.2024,19.06.2024,6.2024,30.05.2024,20,20,True,30,0,0,TKEEA,NO,-20,False,PO,30,innerhalb von 30 Tagen ohne Abzug,< 30 day,PO Invoices
58,100510,47105931,,debit,69,,55022867,"W01 2024.05.15.WE,TIM",12,893300,893300,162100,Mentorink Limited,9500208752.0,03.05.2024,5400.0,05.06.2024,05.06.2024,6.2024,02.06.2024,3,3,True,30,0,0,TKEEA,NO,-3,False,PO,30,innerhalb von 30 Tagen ohne Abzug,< 30 day,PO Invoices
59,2024/20,47105933,,debit,71,,55022923,"W01 2024.05.29.WE,TIM",12,893301,893301,162100,"Meaning In Action, Lda",9500208714.0,27.05.2024,4618.88,26.06.2024,05.06.2024,6.2024,26.06.2024,0,0,True,30,0,0,TKEEA,NO,0,True,PO,30,innerhalb von 30 Tagen ohne Abzug,< 30 day,PO Invoices
60,5802405540,48535284,,debit,85,,55483317,M13 2024.06.05,611,600473,600473,162000,Hahn & Kolb Werkzeuge GmbH,4503322098.0,31.05.2024,599.91,12.06.2024,05.06.2024,6.2024,30.07.2024,-2,-48,False,14,30,60,TKAW,NO,48,True,PO,60,innerhalb von 14 Tagen 3 % Skonto,30-60 d,PO Invoices
61,5802405539,48535380,,debit,85,,55483317,M13 2024.06.05,611,600473,600473,162000,Hahn & Kolb Werkzeuge GmbH,4503322098.0,31.05.2024,61.5,12.06.2024,06.06.2024,6.2024,30.07.2024,-2,-48,False,14,30,60,TKAW,NO,48,True,PO,60,innerhalb von 14 Tagen 3 % Skonto,30-60 d,PO Invoices
62,176065,48534634,,debit,85,,55483318,W01 2024.05.17.,611,600485,600485,162000,Stingl GmbH,4503714036.0,17.05.2024,308.54,12.06.2024,29.05.2024,5.2024,16.06.2024,12,-4,False,14,30,0,TKAW,NO,4,True,PO,30,innerhalb von 14 Tagen 3 % Skonto,< 30 day,PO Invoices
63,176497,48536216,,debit,85,,55483758,,611,600485,600485,162000,Stingl GmbH,4503746334.0,14.06.2024,308.54,26.06.2024,14.06.2024,6.2024,14.07.2024,-2,-18,False,14,30,0,TKAW,NO,18,True,PO,30,innerhalb von 14 Tagen 3 % Skonto,< 30 day,PO Invoices
64,176527,48536545,,debit,85,,55483758,Stingl GmbH FRA.176527,611,600485,600485,162000,Stingl GmbH,4503737533.0,17.06.2024,354.72,26.06.2024,21.06.2024,6.2024,17.07.2024,-5,-21,False,14,30,0,TKAW,NO,21,True,PO,30,innerhalb von 14 Tagen 3 % Skonto,< 30 day,PO Invoices
65,176528,48536576,,debit,85,,55483758,Stingl GmbH FRA.176528,611,600485,600485,162000,Stingl GmbH,4503737534.0,17.06.2024,354.72,26.06.2024,21.06.2024,6.2024,17.07.2024,-5,-21,False,14,30,0,TKAW,NO,21,True,PO,30,innerhalb von 14 Tagen 3 % Skonto,< 30 day,PO Invoices
66,176529,48536669,,debit,85,,55483758,Stingl GmbH FRA.176529,611,600485,600485,162000,Stingl GmbH,4503739966.0,17.06.2024,145.66,26.06.2024,24.06.2024,6.2024,17.07.2024,-5,-21,False,14,30,0,TKAW,NO,21,True,PO,30,innerhalb von 14 Tagen 3 % Skonto,< 30 day,PO Invoices
67,176530,48536698,,debit,85,,55483758,Stingl GmbH FRA.176530,611,600485,600485,162000,Stingl GmbH,4503739967.0,17.06.2024,145.66,26.06.2024,24.06.2024,6.2024,17.07.2024,-5,-21,False,14,30,0,TKAW,NO,21,True,PO,30,innerhalb von 14 Tagen 3 % Skonto,< 30 day,PO Invoices
68,176429,48536789,,debit,85,,55483758,W04 2024.06.12.,611,600485,600485,162000,Stingl GmbH,4503731662.0,12.06.2024,177.91,26.06.2024,25.06.2024,6.2024,12.07.2024,0,-16,False,14,30,0,TKAW,NO,16,True,PO,30,innerhalb von 14 Tagen 3 % Skonto,< 30 day,PO Invoices
69,176430,48536790,,debit,85,,55483758,W04 2024.06.12.,611,600485,600485,162000,Stingl GmbH,4503731663.0,12.06.2024,177.91,26.06.2024,25.06.2024,6.2024,12.07.2024,0,-16,False,14,30,0,TKAW,NO,16,True,PO,30,innerhalb von 14 Tagen 3 % Skonto,< 30 day,PO Invoices
70,176496,48536791,,debit,85,,55483758,W04 2024.06.14.,611,600485,600485,162000,Stingl GmbH,4503746335.0,14.06.2024,177.91,26.06.2024,25.06.2024,6.2024,14.07.2024,-2,-18,False,14,30,0,TKAW,NO,18,True,PO,30,innerhalb von 14 Tagen 3 % Skonto,< 30 day,PO Invoices
71,176494,48536792,,debit,85,,55483758,W04 2024.06.14.,611,600485,600485,162000,Stingl GmbH,4503746337.0,14.06.2024,177.91,26.06.2024,25.06.2024,6.2024,14.07.2024,-2,-18,False,14,30,0,TKAW,NO,18,True,PO,30,innerhalb von 14 Tagen 3 % Skonto,< 30 day,PO Invoices
72,176495,48536793,,debit,85,,55483758,W04 2024.06.14.,611,600485,600485,162000,Stingl GmbH,4503746336.0,14.06.2024,177.91,26.06.2024,25.06.2024,6.2024,14.07.2024,-2,-18,False,14,30,0,TKAW,NO,18,True,PO,30,innerhalb von 14 Tagen 3 % Skonto,< 30 day,PO Invoices
74,1480374202,48534157,,debit,85,,55483229,W04 2024.05.22.,611,600780,600780,162000,Tesa SE,4503735246.0,21.05.2024,599.36,05.06.2024,23.05.2024,5.2024,05.07.2024,5,-30,False,10,20,45,TKAW,NO,30,True,PO,45,innerhalb von 10 Tagen 3 % Skonto,< 30 day,PO Invoices
76,9011062924,48530326,,debit,85,,55483319,,611,601187,601187,162000,INAPA Packaging GmbH,5500010152.0,09.04.2024,198.49,12.06.2024,10.04.2024,4.2024,08.06.2024,4,4,True,60,0,0,TKAW,NO,-4,False,PO,60,innerhalb von 60 Tagen ohne Abzug,30-60 d,PO Invoices
77,9011062752,48530515,,debit,85,,55483098,W04 2024.04.08 Prüfung am 15/04,611,601187,601187,162000,INAPA Packaging GmbH,5500010152.0,05.04.2024,248.12,04.06.2024,12.04.2024,4.2024,04.06.2024,0,0,True,60,0,0,TKAW,NO,0,True,PO,60,innerhalb von 60 Tagen ohne Abzug,30-60 d,PO Invoices
78,9011062753,48530516,,debit,85,,55483098,W04 2024.04.08 Prüfung am 15/04,611,601187,601187,162000,INAPA Packaging GmbH,5500010152.0,05.04.2024,892.98,04.06.2024,12.04.2024,4.2024,04.06.2024,0,0,True,60,0,0,TKAW,NO,0,True,PO,60,innerhalb von 60 Tagen ohne Abzug,30-60 d,PO Invoices
79,9011063403,48531088,,debit,85,,55483319,,611,601187,601187,162000,INAPA Packaging GmbH,4503721919.0,17.04.2024,583.1,12.06.2024,19.04.2024,4.2024,16.06.2024,-4,-4,True,60,0,0,TKAW,NO,4,True,PO,60,innerhalb von 60 Tagen ohne Abzug,30-60 d,PO Invoices
80,9011063468,48531102,,debit,85,,55483507,,611,601187,601187,162000,INAPA Packaging GmbH,5500010152.0,18.04.2024,153.51,18.06.2024,19.04.2024,4.2024,17.06.2024,1,1,True,60,0,0,TKAW,NO,-1,False,PO,60,innerhalb von 60 Tagen ohne Abzug,30-60 d,PO Invoices
81,9011063465,48531103,,debit,85,,55483507,,611,601187,601187,162000,INAPA Packaging GmbH,5500010152.0,18.04.2024,198.49,18.06.2024,19.04.2024,4.2024,17.06.2024,1,1,True,60,0,0,TKAW,NO,-1,False,PO,60,innerhalb von 60 Tagen ohne Abzug,30-60 d,PO Invoices
82,9011063466,48531104,,debit,85,,55483507,,611,601187,601187,162000,INAPA Packaging GmbH,5500010152.0,18.04.2024,198.49,18.06.2024,19.04.2024,4.2024,17.06.2024,1,1,True,60,0,0,TKAW,NO,-1,False,PO,60,innerhalb von 60 Tagen ohne Abzug,30-60 d,PO Invoices
83,9011063467,48531105,,debit,85,,55483507,,611,601187,601187,162000,INAPA Packaging GmbH,5500010152.0,18.04.2024,198.49,18.06.2024,19.04.2024,4.2024,17.06.2024,1,1,True,60,0,0,TKAW,NO,-1,False,PO,60,innerhalb von 60 Tagen ohne Abzug,30-60 d,PO Invoices
84,9011063177,48531396,,debit,85,,55483319,W04 2024.04.15.,611,601187,601187,162000,INAPA Packaging GmbH,4503695061.0,12.04.2024,9838.92,12.06.2024,23.04.2024,4.2024,11.06.2024,1,1,True,60,0,0,TKAW,NO,-1,False,PO,60,innerhalb von 60 Tagen ohne Abzug,30-60 d,PO Invoices
85,9011063788,48531658,,debit,85,,55483666,,611,601187,601187,162000,INAPA Packaging GmbH,5500010152.0,24.04.2024,217.01,25.06.2024,25.04.2024,4.2024,23.06.2024,2,2,True,60,0,0,TKAW,NO,-2,False,PO,60,innerhalb von 60 Tagen ohne Abzug,30-60 d,PO Invoices
86,9011063789,48531660,,debit,85,,55483666,,611,601187,601187,162000,INAPA Packaging GmbH,5500010152.0,24.04.2024,174.93,25.06.2024,25.04.2024,4.2024,23.06.2024,2,2,True,60,0,0,TKAW,NO,-2,False,PO,60,innerhalb von 60 Tagen ohne Abzug,30-60 d,PO Invoices
87,9011063692,48531662,,debit,85,,55483507,,611,601187,601187,162000,INAPA Packaging GmbH,5500010152.0,23.04.2024,153.51,18.06.2024,25.04.2024,4.2024,22.06.2024,-4,-4,True,60,0,0,TKAW,NO,4,True,PO,60,innerhalb von 60 Tagen ohne Abzug,30-60 d,PO Invoices
88,9011063791,48531664,,debit,85,,55483666,,611,601187,601187,162000,INAPA Packaging GmbH,5500010152.0,24.04.2024,57.12,25.06.2024,25.04.2024,4.2024,23.06.2024,2,2,True,60,0,0,TKAW,NO,-2,False,PO,60,innerhalb von 60 Tagen ohne Abzug,30-60 d,PO Invoices
89,9011063790,48531665,,debit,85,,55483666,,611,601187,601187,162000,INAPA Packaging GmbH,5500010152.0,24.04.2024,57.12,25.06.2024,25.04.2024,4.2024,23.06.2024,2,2,True,60,0,0,TKAW,NO,-2,False,PO,60,innerhalb von 60 Tagen ohne Abzug,30-60 d,PO Invoices
90,9011063792,48531811,,debit,85,,55483666,,611,601187,601187,162000,INAPA Packaging GmbH,5500010152.0,24.04.2024,154.33,25.06.2024,26.04.2024,4.2024,23.06.2024,2,2,True,60,0,0,TKAW,NO,-2,False,PO,60,innerhalb von 60 Tagen ohne Abzug,30-60 d,PO Invoices
91,9011063946,48531935,,debit,85,,55483666,,611,601187,601187,162000,INAPA Packaging GmbH,5500010152.0,26.04.2024,198.49,25.06.2024,29.04.2024,4.2024,25.06.2024,0,0,True,60,0,0,TKAW,NO,0,True,PO,60,innerhalb von 60 Tagen ohne Abzug,30-60 d,PO Invoices
92,9011063944,48531936,,debit,85,,55483666,,611,601187,601187,162000,INAPA Packaging GmbH,5500010152.0,26.04.2024,198.49,25.06.2024,29.04.2024,4.2024,25.06.2024,0,0,True,60,0,0,TKAW,NO,0,True,PO,60,innerhalb von 60 Tagen ohne Abzug,30-60 d,PO Invoices
93,9011063942,48531937,,debit,85,,55483666,,611,601187,601187,162000,INAPA Packaging GmbH,5500010152.0,26.04.2024,153.51,25.06.2024,29.04.2024,4.2024,25.06.2024,0,0,True,60,0,0,TKAW,NO,0,True,PO,60,innerhalb von 60 Tagen ohne Abzug,30-60 d,PO Invoices
94,9011063945,48531938,,debit,85,,55483666,,611,601187,601187,162000,INAPA Packaging GmbH,5500010152.0,26.04.2024,51.77,25.06.2024,29.04.2024,4.2024,25.06.2024,0,0,True,60,0,0,TKAW,NO,0,True,PO,60,innerhalb von 60 Tagen ohne Abzug,30-60 d,PO Invoices
95,9011063947,48532106,,debit,85,,55483666,,611,601187,601187,162000,INAPA Packaging GmbH,5500010152.0,26.04.2024,248.12,25.06.2024,30.04.2024,4.2024,25.06.2024,0,0,True,60,0,0,TKAW,NO,0,True,PO,60,innerhalb von 60 Tagen ohne Abzug,30-60 d,PO Invoices
96,9011063941,48532107,,debit,85,,55483666,,611,601187,601187,162000,INAPA Packaging GmbH,5500010152.0,26.04.2024,248.12,25.06.2024,30.04.2024,4.2024,25.06.2024,0,0,True,60,0,0,TKAW,NO,0,True,PO,60,innerhalb von 60 Tagen ohne Abzug,30-60 d,PO Invoices
97,9011063943,48532108,,debit,85,,55483666,,611,601187,601187,162000,INAPA Packaging GmbH,5500010152.0,26.04.2024,177.79,25.06.2024,30.04.2024,4.2024,25.06.2024,0,0,True,60,0,0,TKAW,NO,0,True,PO,60,innerhalb von 60 Tagen ohne Abzug,30-60 d,PO Invoices
98,107072,48534632,,debit,85,,55483099,P01 2024.05.02.,611,601194,601194,162000,Bode Components GmbH,4503729703.0,30.04.2024,365.47,04.06.2024,29.05.2024,5.2024,30.05.2024,5,5,True,30,0,0,TKAW,NO,-5,False,PO,30,innerhalb von 30 Tagen ohne Abzug,< 30 day,PO Invoices
99,RG600389,48533817,,debit,85,,55483100,,611,601258,601258,162000,Antalis Verpackungen GmbH,4503735240.0,21.05.2024,523.6,04.06.2024,21.05.2024,5.2024,20.06.2024,0,-16,False,14,30,0,TKAW,NO,16,True,PO,30,innerhalb von 14 Tagen 2 % Skonto,< 30 day,PO Invoices
